Jan 24 15:01:30 amirAcerAspireF5 kernel: Linux version 6.1.6-arch1-1 (linux@archlinux) (gcc (GCC) 12.2.0, GNU ld (GNU Binutils) 2.39.0) #1 SMP PREEMPT_DYNAMIC Sat, 14 Jan 2023 13:09:35 +0000
Jan 24 15:01:30 amirAcerAspireF5 kernel: Command line: BOOT_IMAGE=/boot/vmlinuz-linux root=UUID=8236de7f-9cf5-45bc-9296-53007fa2265e rw loglevel=3 quiet
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x001: 'x87 floating point registers'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x002: 'SSE registers'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x004: 'AVX registers'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x008: 'MPX bounds registers'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Supporting XSAVE feature 0x010: 'MPX CSR'
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: xstate_offset[2]:  576, xstate_sizes[2]:  256
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: xstate_offset[3]:  832, xstate_sizes[3]:   64
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: xstate_offset[4]:  896, xstate_sizes[4]:   64
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/fpu: Enabled xstate features 0x1f, context size is 960 bytes, using 'compacted' format.
Jan 24 15:01:30 amirAcerAspireF5 kernel: signal: max sigframe size: 2032
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-provided physical RAM map:
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000000000000-0x000000000009e7ff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x000000000009e800-0x000000000009ffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000000e0000-0x00000000000fffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000000100000-0x000000006834bfff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x000000006834c000-0x000000006834cfff] ACPI NVS
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x000000006834d000-0x0000000068376fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000068377000-0x0000000068427fff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000068428000-0x0000000068d28fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000068d29000-0x0000000075c3dfff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000075c3e000-0x000000007662dfff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x000000007662e000-0x0000000077fadfff] ACPI NVS
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000077fae000-0x0000000077ffdfff] ACPI data
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000077ffe000-0x0000000077ffefff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000077fff000-0x00000000780fffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000079000000-0x000000007c7fffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000e0000000-0x00000000efffffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fd000000-0x00000000fe7fffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000feb00000-0x00000000feb03fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fec00000-0x00000000fec00fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fed00000-0x00000000fed00fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fed10000-0x00000000fed19fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fed84000-0x00000000fed84fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000fee00000-0x00000000fee00fff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x00000000ffa00000-0x00000000ffffffff] reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: BIOS-e820: [mem 0x0000000100000000-0x00000001827fffff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: NX (Execute Disable) protection: active
Jan 24 15:01:30 amirAcerAspireF5 kernel: SMBIOS 2.8 present.
Jan 24 15:01:30 amirAcerAspireF5 kernel: DMI: Acer Aspire F5-572G/Zoro_SL , BIOS V1.14 03/04/2016
Jan 24 15:01:30 amirAcerAspireF5 kernel: tsc: Detected 2400.000 MHz processor
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: update [mem 0x00000000-0x00000fff] usable ==> reserved
Jan 24 15:01:30 amirAcerAspireF5 kernel: e820: remove [mem 0x000a0000-0x000fffff] usable
Jan 24 15:01:30 amirAcerAspireF5 kernel: last_pfn = 0x182800 max_arch_pfn = 0x400000000
Jan 24 15:01:30 amirAcerAspireF5 kernel: x86/PAT: Configuration [0-7]: WB  WC  UC- UC  WB  WP  UC- WT  
Jan 24 15:01:30 amirAcerAspireF5 kernel: total RAM covered: 6015M
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 64K         num_reg: 10          lose cover RAM: 4195324K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 128K         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 256K         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 512K         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 1M         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 2M         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 4M         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 8M         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 16M         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 32M         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 64M         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 128M         num_reg: 6          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 256M         num_reg: 4          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 512M         num_reg: 4          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 1G         num_reg: 4          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 64K         chunk_size: 2G         num_reg: 4          lose cover RAM: 60K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 128K         num_reg: 10          lose cover RAM: 4195324K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 256K         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 512K         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 1M         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 2M         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 4M         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 8M         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 16M         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 32M         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 64M         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 128M         num_reg: 6          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 256M         num_reg: 4          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 512M         num_reg: 4          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 1G         num_reg: 4          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 128K         chunk_size: 2G         num_reg: 4          lose cover RAM: 124K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 256K         num_reg: 10          lose cover RAM: 4195324K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 512K         num_reg: 6          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 1M         num_reg: 6          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 2M         num_reg: 6          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 4M         num_reg: 6          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 8M         num_reg: 6          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 16M         num_reg: 6          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 32M         num_reg: 6          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 64M         num_reg: 6          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 128M         num_reg: 6          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 256M         num_reg: 4          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 512M         num_reg: 4          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 1G         num_reg: 4          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 256K         chunk_size: 2G         num_reg: 4          lose cover RAM: 252K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 512K         num_reg: 10          lose cover RAM: 4195324K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 1M         num_reg: 6          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 2M         num_reg: 6          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 4M         num_reg: 6          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 8M         num_reg: 6          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 16M         num_reg: 6          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 32M         num_reg: 6          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 64M         num_reg: 6          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 128M         num_reg: 6          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 256M         num_reg: 4          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 512M         num_reg: 4          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 1G         num_reg: 4          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 512K         chunk_size: 2G         num_reg: 4          lose cover RAM: 508K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 1M         num_reg: 10          lose cover RAM: 4195324K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 2M         num_reg: 6          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 4M         num_reg: 6          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 8M         num_reg: 6          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 16M         num_reg: 6          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 32M         num_reg: 6          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 64M         num_reg: 6          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 128M         num_reg: 6          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 256M         num_reg: 4          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 512M         num_reg: 4          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 1G         num_reg: 4          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 1M         chunk_size: 2G         num_reg: 4          lose cover RAM: 1020K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 2M         chunk_size: 2M         num_reg: 10          lose cover RAM: 2044K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 2M         chunk_size: 4M         num_reg: 6          lose cover RAM: 2044K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 2M         chunk_size: 8M         num_reg: 6          lose cover RAM: 2044K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 2M         chunk_size: 16M         num_reg: 6          lose cover RAM: 2044K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 2M         chunk_size: 32M         num_reg: 6          lose cover RAM: 2044K
Jan 24 15:01:30 amirAcerAspireF5 kernel:  gran_size: 2M         chunk_size: 64M         num_reg: 6          lose cover RAM: 2044K
